Date,Item Code,Description,Volume ,Value,UOM
1/2/2020,100100,A,100,1000,KG
1/3/2020,100101,B,200,2000,KG
1/4/2020,100102,C,300,3000,KG
1/5/2020,100103,D,400,4000,KG
1/6/2020,100104,E,500,5000,KG
1/7/2020,100105,F,600,6000,KG
1/8/2020,100106,G,700,7000,KG
1/9/2020,100107,H,800,8000,KG
1/10/2020,100108,I,900,9000,KG
1/11/2020,100109,J,1000,10000,KG
1/12/2020,100110,A,1100,1000,KG
1/13/2020,100101,B,1200,2000,KG
1/14/2020,100103,C,1300,3000,KG
1/15/2020,100107,D,1400,4000,KG
1/16/2020,100107,E,1500,5000,KG
1/17/2020,100110,F,1600,6000,KG
1/18/2020,100100,G,1700,7000,KG
1/19/2020,100104,H,1800,8000,KG
1/20/2020,100110,I,1900,9000,KG
1/21/2020,100109,J,2000,10000,KG
1/22/2020,100102,A,2100,1000,KG
1/23/2020,100100,B,2200,2000,KG
1/24/2020,100104,C,2300,3000,KG
1/25/2020,100109,D,2400,4000,KG
1/26/2020,100110,E,2500,5000,KG
1/27/2020,100108,F,2600,6000,KG
1/28/2020,100108,G,2700,7000,KG
1/29/2020,100101,H,2800,8000,KG
1/30/2020,100101,I,2900,9000,KG
1/31/2020,100104,J,3000,10000,KG
2/1/2020,100108,A,3100,1000,KG
2/2/2020,100107,B,3200,2000,KG
2/3/2020,100100,C,3300,3000,KG
2/4/2020,100106,D,3400,4000,KG
2/5/2020,100105,E,3500,5000,KG
2/6/2020,100101,F,3600,6000,KG
2/7/2020,100103,G,3700,7000,KG
2/8/2020,100107,H,3800,8000,KG
2/9/2020,100108,I,3900,9000,KG
2/10/2020,100102,J,4000,10000,KG
2/11/2020,100110,A,4100,1000,KG
2/12/2020,100109,B,4200,2000,KG
2/13/2020,100101,C,4300,3000,KG
2/14/2020,100105,D,4400,4000,KG
2/15/2020,100104,E,4500,5000,KG
2/16/2020,100104,F,4600,6000,KG
2/17/2020,100109,G,4700,7000,KG
2/18/2020,100101,H,4800,8000,KG
2/19/2020,100104,I,4900,9000,KG
2/20/2020,100106,J,5000,10000,KG
2/21/2020,100100,A,5100,11000,KG
2/22/2020,100100,B,5200,12000,KG
2/23/2020,100105,C,5300,13000,KG
2/24/2020,100102,D,5400,14000,KG
2/25/2020,100108,E,5500,15000,KG
2/26/2020,100108,F,5600,16000,KG
2/27/2020,100103,G,5700,17000,KG
2/28/2020,100108,H,5800,18000,KG
2/29/2020,100101,I,5900,19000,KG
3/1/2020,100109,J,6000,20000,KG
3/2/2020,100105,A,6100,21000,KG
3/3/2020,100105,B,6200,22000,KG
3/4/2020,100100,C,6300,23000,KG
3/5/2020,100110,D,6400,24000,KG
3/6/2020,100103,E,6500,25000,KG
3/7/2020,100109,F,6600,26000,KG
3/8/2020,100100,G,6700,27000,KG
3/9/2020,100106,H,6800,28000,KG
3/10/2020,100108,I,6900,29000,KG
3/11/2020,100103,J,7000,30000,KG
3/12/2020,100107,A,7100,31000,KG
3/13/2020,100108,B,7200,32000,KG
3/14/2020,100106,C,7300,33000,KG
3/15/2020,100105,D,7400,34000,KG
3/16/2020,100104,E,7500,35000,KG
3/17/2020,100104,F,7600,36000,KG
3/18/2020,100100,G,7700,37000,KG
3/19/2020,100109,H,7800,38000,KG
3/20/2020,100102,I,7900,39000,KG
3/21/2020,100102,J,8000,40000,KG
3/22/2020,100110,A,8100,41000,KG
3/23/2020,100107,B,8200,42000,KG
3/24/2020,100100,C,8300,43000,KG
3/25/2020,100101,D,8400,44000,KG
3/26/2020,100110,E,8500,45000,KG
3/27/2020,100104,F,8600,46000,KG
3/28/2020,100106,G,8700,47000,KG
3/29/2020,100107,H,8800,48000,KG
3/30/2020,100106,I,8900,49000,KG
3/31/2020,100109,J,9000,50000,KG
4/1/2020,100105,A,9100,51000,KG
4/2/2020,100110,B,9200,52000,KG
4/3/2020,100106,C,9300,53000,KG
4/4/2020,100108,D,9400,54000,KG
4/5/2020,100110,E,9500,55000,KG
4/6/2020,100100,F,9600,56000,KG
4/7/2020,100102,G,9700,57000,KG
4/8/2020,100106,H,9800,58000,KG
4/9/2020,100102,I,9900,59000,KG
4/10/2020,100106,J,10000,60000,KG
4/11/2020,100110,A,10100,61000,KG
4/12/2020,100103,B,10200,62000,KG
4/13/2020,100106,C,10300,63000,KG
4/14/2020,100102,D,10400,64000,KG
4/15/2020,100100,E,10500,65000,KG
4/16/2020,100102,F,10600,66000,KG
4/17/2020,100107,G,10700,67000,KG
4/18/2020,100105,H,10800,68000,KG
4/19/2020,100104,I,10900,69000,KG
4/20/2020,100107,J,11000,70000,KG
4/21/2020,100102,A,11100,71000,KG
4/22/2020,100104,B,11200,72000,KG
4/23/2020,100104,C,11300,73000,KG
4/24/2020,100100,D,11400,74000,KG
4/25/2020,100108,E,11500,75000,KG
4/26/2020,100109,F,11600,76000,KG
4/27/2020,100105,G,11700,77000,KG
4/28/2020,100105,H,11800,78000,KG
4/29/2020,100109,I,11900,79000,KG
4/30/2020,100105,J,12000,80000,KG
5/1/2020,100103,A,12100,81000,KG
5/2/2020,100107,B,12200,82000,KG
5/3/2020,100109,C,12300,83000,KG
5/4/2020,100106,D,12400,84000,KG
5/5/2020,100104,E,12500,85000,KG
5/6/2020,100108,F,12600,86000,KG
5/7/2020,100109,G,12700,87000,KG
5/8/2020,100101,H,12800,88000,KG
5/9/2020,100109,I,12900,89000,KG
5/10/2020,100104,J,13000,90000,KG
5/11/2020,100104,A,13100,91000,KG
5/12/2020,100103,B,13200,92000,KG
5/13/2020,100106,C,13300,93000,KG
5/14/2020,100108,D,13400,94000,KG
5/15/2020,100110,E,13500,95000,KG
5/16/2020,100100,F,13600,96000,KG
5/17/2020,100106,G,13700,97000,KG
5/18/2020,100105,H,13800,98000,KG
5/19/2020,100103,I,13900,99000,KG
5/20/2020,100105,J,14000,100000,KG
5/21/2020,100103,A,14100,101000,KG
5/22/2020,100103,B,14200,102000,KG
5/23/2020,100110,C,14300,103000,KG
5/24/2020,100104,D,14400,104000,KG
5/25/2020,100108,E,14500,105000,KG
5/26/2020,100100,F,14600,106000,KG
5/27/2020,100102,G,14700,107000,KG
5/28/2020,100109,H,14800,108000,KG
5/29/2020,100103,I,14900,109000,KG
